,isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
2596,9780521290609,0521290600,Problems of the Self,Bernard Williams,Philosophy,http://books.google.com/books/content?id=RwWEgc-m0U0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This is a volume of philosophical studies, centred on problems of personal identity and extending to related topics in the philosophy of mind and moral philosophy.",1976.0,4.02,276.0,52.0,Problems of the Self: Philosophical Papers 1956-1972,"9780521290609 This is a volume of philosophical studies, centred on problems of personal identity and extending to related topics in the philosophy of mind and moral philosophy."
2700,9780553345841,0553345842,The Mind's I,Douglas R. Hofstadter;Daniel Clement Dennett,Philosophy,http://books.google.com/books/content?id=hz22QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Brilliant, shattering, mind-jolting, ""The Mind's I"" is a searching, probing nook--a cosmic journey of the mind--that goes deeply into the problem of self and self-consciousness as anything written in our time. From verbalizing chimpanzees to scientific speculations involving machines with souls, from the mesmerizing, maze-like fiction of Borges to the tantalizing, dreamlike fiction of Lem and Princess Ineffable, her circuits glowing read and gold, ""The Mind's I "" opens the mind to the Black Box of fantasy, to the windfalls of reflection, to new dimensions of exciting possibilities.",1982.0,4.14,512.0,4715.0,The Mind's I: Fantasies and Reflections on Self and Soul,"9780553345841 Brilliant, shattering, mind-jolting, ""The Mind's I"" is a searching, probing nook--a cosmic journey of the mind--that goes deeply into the problem of self and self-consciousness as anything written in our time. From verbalizing chimpanzees to scientific speculations involving machines with souls, from the mesmerizing, maze-like fiction of Borges to the tantalizing, dreamlike fiction of Lem and Princess Ineffable, her circuits glowing read and gold, ""The Mind's I "" opens the mind to the Black Box of fantasy, to the windfalls of reflection, to new dimensions of exciting possibilities."
2791,9780553803525,0553803522,Social Intelligence,Daniel Goleman,Psychology,http://books.google.com/books/content?id=akQLxTM-5_8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The best-selling author of Emotional Intelligence redefines the nature of human relationships and its impact on every aspect of daily life, bringing together the latest research in biology and brain science to reveal how one's daily encounters shape the brain and affect the body, from daily mood to the immune response. 250,000 first printing.",2006.0,3.98,403.0,9957.0,Social Intelligence: The New Science of Human Relationships,"9780553803525 The best-selling author of Emotional Intelligence redefines the nature of human relationships and its impact on every aspect of daily life, bringing together the latest research in biology and brain science to reveal how one's daily encounters shape the brain and affect the body, from daily mood to the immune response. 250,000 first printing."
2893,9780618057078,0618057072,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,Philosophy,http://books.google.com/books/content?id=6Q0kSEh_beUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At the heart of this classic, seminal book is Julian Jaynes's still-controversial thesis that human consciousness did not begin far back in animal evolution but instead is a learned process that came about only three thousand years ago and is still developing. The implications of this revolutionary scientific paradigm extend into virtually every aspect of our psychology, our history and culture, our religion -- and indeed our future.",2000.0,4.24,491.0,3258.0,The Origin of Consciousness in the Breakdown of the Bicameral Mind,"9780618057078 At the heart of this classic, seminal book is Julian Jaynes's still-controversial thesis that human consciousness did not begin far back in animal evolution but instead is a learned process that came about only three thousand years ago and is still developing. The implications of this revolutionary scientific paradigm extend into virtually every aspect of our psychology, our history and culture, our religion -- and indeed our future."
2935,9780618619160,061861916X,The Ancestor's Tale,Richard Dawkins;Yan Wong,Science,http://books.google.com/books/content?id=rR9XPnaqvCMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A renowned biologist provides a sweeping chronicle of more than four billion years of life on Earth, shedding new light on evolutionary theory and history, sexual selection, speciation, extinction, and genetics.",2005.0,4.13,688.0,18593.0,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,"9780618619160 A renowned biologist provides a sweeping chronicle of more than four billion years of life on Earth, shedding new light on evolutionary theory and history, sexual selection, speciation, extinction, and genetics."
3038,9780674644847,0674644840,Origins of the Modern Mind,Merlin Donald,Medical,http://books.google.com/books/content?id=4Sk4vWkrUAgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence, and presents an original theory of how the human mind evolved from its presymbolic form. Illustrated with line drawings.",1991.0,4.17,424.0,88.0,Origins of the Modern Mind: Three Stages in the Evolution of Culture and Cognition,"9780674644847 This bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence, and presents an original theory of how the human mind evolved from its presymbolic form. Illustrated with line drawings."
3073,9780679724698,0679724699,The History of Sexuality,Michel Foucault,Sex customs,http://books.google.com/books/content?id=0Mbc5eMjLpoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This controversial account, by one of the greatest intellectuals of the 20th century, explores the evolving social, economic and political forces that have shaped our attitudes to sex.",1990.0,4.04,176.0,14218.0,The History of Sexuality: Women's Decisions Concerning Contraception,"9780679724698 This controversial account, by one of the greatest intellectuals of the 20th century, explores the evolving social, economic and political forces that have shaped our attitudes to sex."
3195,9780688172176,0688172172,Phantoms in the Brain,V. S. Ramachandran,Medical,http://books.google.com/books/content?id=TMnuNquN2RgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Neuroscientist V.S. Ramachandran is internationally renowned for uncovering answers to the deep and quirky questions of human nature that few scientists have dared to address. His bold insights about the brain are matched only by the stunning simplicity of his experiments -- using such low-tech tools as cotton swabs, glasses of water and dime-store mirrors. In Phantoms in the Brain, Dr. Ramachandran recounts how his work with patients who have bizarre neurological disorders has shed new light on the deep architecture of the brain, and what these findings tell us about who we are, how we construct our body image, why we laugh or become depressed, why we may believe in God, how we make decisions, deceive ourselves and dream, perhaps even why we're so clever at philosophy, music and art. Some of his most notable cases: A woman paralyzed on the left side of her body who believes she is lifting a tray of drinks with both hands offers a unique opportunity to test Freud's theory of denial. A man who insists he is talking with God challenges us to ask: Could we be ""wired"" for religious experience? A woman who hallucinates cartoon characters illustrates how, in a sense, we are all hallucinating, all the time. Dr. Ramachandran's inspired medical detective work pushes the boundaries of medicine's last great frontier -- the human mind -- yielding new and provocative insights into the ""big questions"" about consciousness and the self.",1999.0,4.25,352.0,14549.0,Phantoms in the Brain: Probing the Mysteries of the Human Mind,"9780688172176 Neuroscientist V.S. Ramachandran is internationally renowned for uncovering answers to the deep and quirky questions of human nature that few scientists have dared to address. His bold insights about the brain are matched only by the stunning simplicity of his experiments -- using such low-tech tools as cotton swabs, glasses of water and dime-store mirrors. In Phantoms in the Brain, Dr. Ramachandran recounts how his work with patients who have bizarre neurological disorders has shed new light on the deep architecture of the brain, and what these findings tell us about who we are, how we construct our body image, why we laugh or become depressed, why we may believe in God, how we make decisions, deceive ourselves and dream, perhaps even why we're so clever at philosophy, music and art. Some of his most notable cases: A woman paralyzed on the left side of her body who believes she is lifting a tray of drinks with both hands offers a unique opportunity to test Freud's theory of denial. A man who insists he is talking with God challenges us to ask: Could we be ""wired"" for religious experience? A woman who hallucinates cartoon characters illustrates how, in a sense, we are all hallucinating, all the time. Dr. Ramachandran's inspired medical detective work pushes the boundaries of medicine's last great frontier -- the human mind -- yielding new and provocative insights into the ""big questions"" about consciousness and the self."
3227,9780691017778,0691017778,The Myth of the Eternal Return,Mircea Eliade,Social Science,http://books.google.com/books/content?id=sqI9AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,This essay on humanity's experience of history and its interpretation begins with a study of the traditional or mythological view and concludes with a comparative estimate of modern historiological approaches.,1971.0,4.23,195.0,1706.0,"The Myth of the Eternal Return: Or, Cosmos and History",9780691017778 This essay on humanity's experience of history and its interpretation begins with a study of the traditional or mythological view and concludes with a comparative estimate of modern historiological approaches.
3688,9780767920094,0767920090,The Female Brain,Louann Brizendine,Psychology,http://books.google.com/books/content?id=-tpoFcql0kgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The founder of the first clinic in the country to study and treat women's brain functions provides a truly comprehensive look at the way women's minds work, combining two decades of research, real-life stories, and all of the latest information from the scientific community at large. 35,000 first printing.",2006.0,3.82,304.0,8305.0,The Female Brain,"9780767920094 The founder of the first clinic in the country to study and treat women's brain functions provides a truly comprehensive look at the way women's minds work, combining two decades of research, real-life stories, and all of the latest information from the scientific community at large. 35,000 first printing."
3920,9780810117495,0810117495,The Phenomenon of Life,Hans Jonas;Eleonore Jonas,Philosophy,http://books.google.com/books/content?id=F2seCz7wmfQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"One of the most prominent thinkers of his generation, Hans Jonas wrote on topics as diverse as the philosophy of biology, ethics and cosmology. This work sets forth a systematic philosophy of biological facts, laid out in support of his claim that mind is prefigured throughout organic existence.",2001.0,4.23,304.0,89.0,The Phenomenon of Life: Toward a Philosophical Biology,"9780810117495 One of the most prominent thinkers of his generation, Hans Jonas wrote on topics as diverse as the philosophy of biology, ethics and cosmology. This work sets forth a systematic philosophy of biological facts, laid out in support of his claim that mind is prefigured throughout organic existence."
4096,9780835608305,0835608301,Beyond the Postmodern Mind,Huston Smith,Philosophy,http://books.google.com/books/content?id=lKnLBQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,This new edition of critically acclaimed essays explores possible breakthroughs in the direction of reaching a liberated and enlightened consciousness. With a new preface and new final chapter. An invaluable collection of essays by the foremost religious writer in America today.,2003.0,4.21,295.0,67.0,Beyond the Postmodern Mind: The Place of Meaning in a Global Civilization,9780835608305 This new edition of critically acclaimed essays explores possible breakthroughs in the direction of reaching a liberated and enlightened consciousness. With a new preface and new final chapter. An invaluable collection of essays by the foremost religious writer in America today.
4251,9780934380232,0934380236,The Crowd: Extradordinary Popular Delusions: Twin Classics of Crowd Pyschology,Gustave Le Bon;Charles Mackay,Psychology,http://books.google.com/books/content?id=3OXIPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"There are two classic texts that deal with crowd psychology and the irrational behavior that characterizes large groups of people acting en masse. They are The Crowd, and Extraordinary Popular Delusions and the Madness Crowds. Both books provide lucid and witty insights into the madness of crowd psychology, such as the tulipmania in Holland, when the price of tulip bulbs was up to astronomical heights. Both of these books are combined into a single volume for the price of one!",1993.0,3.94,288.0,379.0,The Crowd: Extradordinary Popular Delusions: Twin Classics of Crowd Pyschology,"9780934380232 There are two classic texts that deal with crowd psychology and the irrational behavior that characterizes large groups of people acting en masse. They are The Crowd, and Extraordinary Popular Delusions and the Madness Crowds. Both books provide lucid and witty insights into the madness of crowd psychology, such as the tulipmania in Holland, when the price of tulip bulbs was up to astronomical heights. Both of these books are combined into a single volume for the price of one!"
4261,9780940450721,0940450720,"Writings, 1878-1899",William James,Fiction,http://books.google.com/books/content?id=rr6kPc52tI4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"William James, a member of America's most illustrious intellectual family, is widely acclaimed as the country's foremost philosopher, the first of its psychologists, and a champion of religious pluralism. As the apostle of pragmatism, his influence on American thought is as strong now as it has ever been. James's emphasis on the creative power of faith, will, and action, his opening up of philosophy to the fresh air of ordinary experience, his fascination with alternative forms of belief and states of consciousness, and his impatience with dogmas of any kind--all make him a defender of individual experience, and earn him a place beside Emerson and Whitman as an exponent of American democratic culture. In this volume are the brilliant, engagingly written works of James's early and middle years. The Will to Believe and Other Essays in Popular Philosophy advances the liberating argument that each of us has the right to believe in hypotheses that are not susceptible to proof and that such beliefs might actually change the world. The conversational style of these essays reflects their origin in public lectures, as well as James's conviction that truth can be discovered as much in the course of everyday life as in the activities of science or of philosophical speculation. Talks to Teachers and to Students, also drawn from lectures, helped transform the emerging science of education. Here James applies his new psychology to classroom theory and conduct, especially for the primary grades. This immensely influential book has never gone out of print. It emphasizes the role in learning of instinct, play, and habit, along with the importance of engaging the voluntary interests of students. James's warm and sympathetic nature informs his treatment of children, who can best be taught by those who respect the child's autonomy and who avoid what he calls ""hammering in."" Psychology: Briefer Course is far more than a shortened version of his monumental Principles of Psychology. It significantly revises parts of the earlier work and adds important new materials. (Students liked to call the longer book ""James"" and the shorter one ""Jimmy"".) James's new psychology moved away from discussions of the soul, morality, and logic, and focused instead on instinct, will, and the importance of action and habit. Passages comparing human consciousness to ""a wonderful stream"" inspired the ""stream of consciousness"" in the future work of Joyce, Woolf, and Gertrude Stein, a student of James's at Harvard. ""Human Immortality,"" which defends the possibility of life after death, and eight more of James's most important essays round out this second volume devoted to a writer who was called by John Dewey ""almost a Columbus of the inner world.""",1992.0,4.22,1212.0,87.0,"Writings, 1878-1899","9780940450721 William James, a member of America's most illustrious intellectual family, is widely acclaimed as the country's foremost philosopher, the first of its psychologists, and a champion of religious pluralism. As the apostle of pragmatism, his influence on American thought is as strong now as it has ever been. James's emphasis on the creative power of faith, will, and action, his opening up of philosophy to the fresh air of ordinary experience, his fascination with alternative forms of belief and states of consciousness, and his impatience with dogmas of any kind--all make him a defender of individual experience, and earn him a place beside Emerson and Whitman as an exponent of American democratic culture. In this volume are the brilliant, engagingly written works of James's early and middle years. The Will to Believe and Other Essays in Popular Philosophy advances the liberating argument that each of us has the right to believe in hypotheses that are not susceptible to proof and that such beliefs might actually change the world. The conversational style of these essays reflects their origin in public lectures, as well as James's conviction that truth can be discovered as much in the course of everyday life as in the activities of science or of philosophical speculation. Talks to Teachers and to Students, also drawn from lectures, helped transform the emerging science of education. Here James applies his new psychology to classroom theory and conduct, especially for the primary grades. This immensely influential book has never gone out of print. It emphasizes the role in learning of instinct, play, and habit, along with the importance of engaging the voluntary interests of students. James's warm and sympathetic nature informs his treatment of children, who can best be taught by those who respect the child's autonomy and who avoid what he calls ""hammering in."" Psychology: Briefer Course is far more than a shortened version of his monumental Principles of Psychology. It significantly revises parts of the earlier work and adds important new materials. (Students liked to call the longer book ""James"" and the shorter one ""Jimmy"".) James's new psychology moved away from discussions of the soul, morality, and logic, and focused instead on instinct, will, and the importance of action and habit. Passages comparing human consciousness to ""a wonderful stream"" inspired the ""stream of consciousness"" in the future work of Joyce, Woolf, and Gertrude Stein, a student of James's at Harvard. ""Human Immortality,"" which defends the possibility of life after death, and eight more of James's most important essays round out this second volume devoted to a writer who was called by John Dewey ""almost a Columbus of the inner world."""
4284,9780971500747,0971500746,Transcending the Levels of Consciousness,David R. Hawkins,Religion,http://books.google.com/books/content?id=kXImmwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Explores the ego's expressions and inherent limitations and gives detailed explanations and instructions on how to transcend them. It expands the understanding of the levels of consciousness as presented in the wiedely-acclaimed Map of Consciousness. The book focuses on the individual, and studies the experiential subjective blocks to the advancement of awareness, at each level of consciousness. This leads to progressive spiritual awareness and on to higher levels of consciousness, providing specific steps for transcending each level, preparatory to advanced states such as Enlightenment itself. By analyzing the various obstacles and levels to be transcended, certain principles that support spiritual evolution are self-revealing. This book si therefore a practical manual rather than a comprehensive analysis.",2005.0,4.53,407.0,423.0,Transcending the Levels of Consciousness: The Stairway of Enlightenment,"9780971500747 Explores the ego's expressions and inherent limitations and gives detailed explanations and instructions on how to transcend them. It expands the understanding of the levels of consciousness as presented in the wiedely-acclaimed Map of Consciousness. The book focuses on the individual, and studies the experiential subjective blocks to the advancement of awareness, at each level of consciousness. This leads to progressive spiritual awareness and on to higher levels of consciousness, providing specific steps for transcending each level, preparatory to advanced states such as Enlightenment itself. By analyzing the various obstacles and levels to be transcended, certain principles that support spiritual evolution are self-revealing. This book si therefore a practical manual rather than a comprehensive analysis."
4344,9781400041275,1400041279,The Origin of Species,Charles Darwin,Science,http://books.google.com/books/content?id=arm7fmLePg8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A dual publication of two of the author's influential works includes his nineteenth-century discussion of his revolutionary theory of evolution by means of natural selection and his 1839 account of his journeys to South America and the Pacific Islands.,2003.0,4.13,1024.0,494.0,"The Origin of Species: And, The Voyage of the Beagle",9781400041275 A dual publication of two of the author's influential works includes his nineteenth-century discussion of his revolutionary theory of evolution by means of natural selection and his 1839 account of his journeys to South America and the Pacific Islands.
4360,9781400051571,1400051576,The Last Hours of Ancient Sunlight,Thom Hartmann,Political Science,http://books.google.com/books/content?id=7d4VDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A revised edition of a landmark study offers a passionate, visionary call to enlightened consciousness that combines spiritual thought and ecological principles to promote a positive future for the planet and its inhabitants. Reprint. 15,000 first printing.",2004.0,4.22,400.0,1341.0,The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,"9781400051571 A revised edition of a landmark study offers a passionate, visionary call to enlightened consciousness that combines spiritual thought and ecological principles to promote a positive future for the planet and its inhabitants. Reprint. 15,000 first printing."
4367,9781400062454,1400062454,The Family that Couldn't Sleep,Daniel T. Max,Health & Fitness,http://books.google.com/books/content?id=oKjqwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Explores prions, enigmatic brain proteins, and their influence on human life, examining the case of an Italian family victimized for two centuries by a fatal familial insomnia, and the links between prions and various brain maladies.",2006.0,3.9,299.0,4386.0,The Family that Couldn't Sleep: A Medical Mystery,"9781400062454 Explores prions, enigmatic brain proteins, and their influence on human life, examining the case of an Italian family victimized for two centuries by a fatal familial insomnia, and the links between prions and various brain maladies."
4470,9781411665309,1411665309,Existential Meditation,Simon Cleveland,Existentialism,http://books.google.com/books/content?id=8-2zkuSOPWsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In this three-part discourse, Simon Cleveland offers a perspective on life derived partly from the latest scientific theories in cosmology and quantum mechanics and partly from analysis on the works of some of the greatest writers and philosophers of the nineteenth and twentieth centuries. The book explores topics such as the meaning of time, consciousness and the development of the essence. The author also examines the genesis of the concept of immortality.",2005.0,4.91,100.0,11.0,Existential Meditation,"9781411665309 In this three-part discourse, Simon Cleveland offers a perspective on life derived partly from the latest scientific theories in cosmology and quantum mechanics and partly from analysis on the works of some of the greatest writers and philosophers of the nineteenth and twentieth centuries. The book explores topics such as the meaning of time, consciousness and the development of the essence. The author also examines the genesis of the concept of immortality."
4692,9781571741028,157174102X,The Ultimate Time Machine,Joseph McMoneagle,"Body, Mind & Spirit",http://books.google.com/books/content?id=Jr0LmAz0gVQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Joseph McMoneagle is an extraordinary remote viewer, a ""psychic spy,"" whose experiences have given him a special insight into the nature of time and human perception. For more than seventeen years, he was a researcher and remote viewer for the top-secret Army project STARGATE. For years after that, he journeyed through time while working in a consciousness-development lab with out-of-body experience pioneer Robert A. Monroe. McMoneagle explores the questions that philosophers have for centuries debated: Does time really exist? Do our actions today really affect our future? Can we change the past? Do we slip between alternate realities? In The Ultimate Time Machine, McMoneagle delivers new insights into these mysteries, including: First-hand information--including transcripts from lab sessions--on the origins of humanity, the crucifixion of Jesus Christ, and the building of the Egyptian pyramids. Provocative suggestions about the nature of time, creation, and a constantly changing past. A detailed picture of our immediate future through the year 2075. More than 150 very explicit predictions on world population, aging, religious fragmentation, lifestyle changes, technological developments, and dozens of major changes to laws, customs and practices--all within a positive and constructive framework. A vision of the year 3000, comprising a test of what the author calls the ""Verne Effect""--our ability to create and manipulate our future.",1998.0,3.49,275.0,56.0,"The Ultimate Time Machine: A Remote Viewer's Perception of Time, and Predictions for the New Millennium","9781571741028 Joseph McMoneagle is an extraordinary remote viewer, a ""psychic spy,"" whose experiences have given him a special insight into the nature of time and human perception. For more than seventeen years, he was a researcher and remote viewer for the top-secret Army project STARGATE. For years after that, he journeyed through time while working in a consciousness-development lab with out-of-body experience pioneer Robert A. Monroe. McMoneagle explores the questions that philosophers have for centuries debated: Does time really exist? Do our actions today really affect our future? Can we change the past? Do we slip between alternate realities? In The Ultimate Time Machine, McMoneagle delivers new insights into these mysteries, including: First-hand information--including transcripts from lab sessions--on the origins of humanity, the crucifixion of Jesus Christ, and the building of the Egyptian pyramids. Provocative suggestions about the nature of time, creation, and a constantly changing past. A detailed picture of our immediate future through the year 2075. More than 150 very explicit predictions on world population, aging, religious fragmentation, lifestyle changes, technological developments, and dozens of major changes to laws, customs and practices--all within a positive and constructive framework. A vision of the year 3000, comprising a test of what the author calls the ""Verne Effect""--our ability to create and manipulate our future."
4716,9781577312093,1577312090,The Inner Reaches of Outer Space,Joseph Campbell,Religion,http://books.google.com/books/content?id=5VOGAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Created from a powerful set of lectures delivered by the ""father of modern mythology,"" this exciting book--the second in the series Collected Works of Joseph Campbell--suggests that laws of physics that govern the universe are also at play within the human consciousness.",2002.0,4.22,160.0,943.0,The Inner Reaches of Outer Space: Metaphor as Myth and as Religion,"9781577312093 Created from a powerful set of lectures delivered by the ""father of modern mythology,"" this exciting book--the second in the series Collected Works of Joseph Campbell--suggests that laws of physics that govern the universe are also at play within the human consciousness."
4838,9781590300107,1590300106,Healing Emotions,Daniel Goleman,Health & Fitness,http://books.google.com/books/content?id=w7xvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A new edition documents encounters between the Dalai Lama and prominent western psychologists, physicians, and meditation teachers to offer insight into the mind's ability to heal the body. Original.",2003.0,4.05,288.0,291.0,"Healing Emotions: Conversations with the Dalai Lama on Mindfulness, Emotions, and Health","9781590300107 A new edition documents encounters between the Dalai Lama and prominent western psychologists, physicians, and meditation teachers to offer insight into the mind's ability to heal the body. Original."
4898,9781593851170,1593851170,The Nature of Play,Anthony D. Pellegrini;Peter K. Smith,Psychology,http://books.google.com/books/content?id=Nukz6dJNCO0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""Comprehensive and up to date, this tightly edited volume belongs on the desks of researchers and students in developmental psychology, comparative psychology, animal behavior, and evolutionary psychology, and will also be of interest to anthropologists. It is a richly informative text for advanced undergraduate- and graduate-level courses.""--BOOK JACKET.",2005.0,4.25,308.0,4.0,The Nature of Play: Great Apes and Humans,"9781593851170 ""Comprehensive and up to date, this tightly edited volume belongs on the desks of researchers and students in developmental psychology, comparative psychology, animal behavior, and evolutionary psychology, and will also be of interest to anthropologists. It is a richly informative text for advanced undergraduate- and graduate-level courses.""--BOOK JACKET."
4997,9781842931851,1842931857,Mysteries,Colin Wilson,"Body, Mind & Spirit",http://books.google.com/books/content?id=LiHQIYR2MwAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Through his own cathartic experiences, Colin Wilson discovered that human beings consist of a ladder or hierarchy of selves, whose upper members may be called on at will for personal transformation and deep knowledge. ""Mysteries"" attempts to explain all paranormal phenomena -- from precognition to Uri Geller's spoon bending -- in terms of this theory. Included are detailed studies of haunting, possession, and "" demonic hypnosis, "" and also of magic, the Kabbalah, and astrology. At the heart of the book is a fascinating chapter on the "" Great Secret"" of the alchemists, which Wilson sees as the key to the mystery of the "" ladder of selves.""",2006.0,4.08,672.0,348.0,"Mysteries: An Investigation Into the Occult, the Paranormal and the Supernatural","9781842931851 Through his own cathartic experiences, Colin Wilson discovered that human beings consist of a ladder or hierarchy of selves, whose upper members may be called on at will for personal transformation and deep knowledge. ""Mysteries"" attempts to explain all paranormal phenomena -- from precognition to Uri Geller's spoon bending -- in terms of this theory. Included are detailed studies of haunting, possession, and "" demonic hypnosis, "" and also of magic, the Kabbalah, and astrology. At the heart of the book is a fascinating chapter on the "" Great Secret"" of the alchemists, which Wilson sees as the key to the mystery of the "" ladder of selves."""
