,isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
3764,9780786818723,0786818727,Baby Einstein: Violet's House,Julie Aigner-Clark,Juvenile Fiction,http://books.google.com/books/content?id=bC4HAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Violet, a very curious young mouse, invites babies and toddlers into her home to explore, room by room, her favorite things. Delightfully written rhythmic verse and engaging illustrations lead children to discover the feel of objects that surround them in their everyday world. From touching Violet's fluffy poodle to joining her as she puts sticky toothpaste on her brush, children will want to visit Violet's House time and time again.",2003.0,3.98,10.0,39.0,Baby Einstein: Violet's House: A Giant Touch-and-Feel Book,"9780786818723 Violet, a very curious young mouse, invites babies and toddlers into her home to explore, room by room, her favorite things. Delightfully written rhythmic verse and engaging illustrations lead children to discover the feel of objects that surround them in their everyday world. From touching Violet's fluffy poodle to joining her as she puts sticky toothpaste on her brush, children will want to visit Violet's House time and time again."
3767,9780786849734,0786849738,Disney's Little Einsteins: Galactic Goodnight,Susan Ring,Juvenile Fiction,http://books.google.com/books/content?id=Nm3N395c09AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Little Einsteins, equipped with their camera, go on a journey through space, exploring each of the planets, landing on Mars, and looking at the Earth from their spaceship, with a slideviewer for young readers to view pictures of what they saw.",2006.0,4.5,20.0,10.0,Disney's Little Einsteins: Galactic Goodnight,"9780786849734 The Little Einsteins, equipped with their camera, go on a journey through space, exploring each of the planets, landing on Mars, and looking at the Earth from their spaceship, with a slideviewer for young readers to view pictures of what they saw."
4215,9780887511127,0887511120,Teaching the World's Children,Mary Ashworth;Patricia Wakefield,Education,http://books.google.com/books/content?id=mp4FhKqKN7MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The language young children use is the language they learn. In clear, practical terms, this primer explains how early childhood educators and primary teachers can support the efforts of non-English speaking children in nursery schools, day care centres and classrooms to use -- and learn -- English as a second language. Loaded with ideas and down-to-earth advice from two highly experienced and internationally renowned ESL experts, it's an essential guide to developing a sensitive, welcoming program for all of the world's children.",2004.0,3.5,101.0,4.0,Teaching the World's Children: ESL for Ages Three to Seven,"9780887511127 The language young children use is the language they learn. In clear, practical terms, this primer explains how early childhood educators and primary teachers can support the efforts of non-English speaking children in nursery schools, day care centres and classrooms to use -- and learn -- English as a second language. Loaded with ideas and down-to-earth advice from two highly experienced and internationally renowned ESL experts, it's an essential guide to developing a sensitive, welcoming program for all of the world's children."
4264,9780941807555,094180755X,The Little Big Book for God's Children,Lena Tabori;Alice Wong,Religion,http://books.google.com/books/content?id=s2PfTIZ2IDEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"THE LITTLE BIG BOOK FOR GOD'S CHILDREN is a wonderful resource for parents looking to introduce their children to the wisdom and beauty of Christian faith. Illustrated with early twentieth-century art from artists such as Jessie Wilcox Smith, Ellen H. Clapsaddle, and Maud and Miska Petersham, this Little Big Book presents selected bible stories, parables, and verses; poems and prayers; excerpts and fables; songs and hymns; and activities - all collected in one delightful volume. A celebration of God's enduring message of love, GOD'S CHILDREN is sure to provide an endless wellspring of inspiration and hope.",2001.0,4.88,352.0,8.0,The Little Big Book for God's Children,"9780941807555 THE LITTLE BIG BOOK FOR GOD'S CHILDREN is a wonderful resource for parents looking to introduce their children to the wisdom and beauty of Christian faith. Illustrated with early twentieth-century art from artists such as Jessie Wilcox Smith, Ellen H. Clapsaddle, and Maud and Miska Petersham, this Little Big Book presents selected bible stories, parables, and verses; poems and prayers; excerpts and fables; songs and hymns; and activities - all collected in one delightful volume. A celebration of God's enduring message of love, GOD'S CHILDREN is sure to provide an endless wellspring of inspiration and hope."
4291,9780972851725,0972851720,H.G. Wells' Floor Games,H. G. Wells;Barbara A. Turner,Games & Activities,http://books.google.com/books/content?id=4PglfbMD1awC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Suggests some of the games that can be created using toy soldiers and other figurines, blocks, boards and planks, and toy trains arranged in various ways on an appropriate floor. New postscript offers biographical sketches of Wells, Margaret Lowenfeld, and Dora M. Kalff, and describes how Wells' book inspired the development of sandplay therapy.",2004.0,3.41,110.0,47.0,H.G. Wells' Floor Games: A Father's Account of Play and Its Legacy of Healing,"9780972851725 Suggests some of the games that can be created using toy soldiers and other figurines, blocks, boards and planks, and toy trains arranged in various ways on an appropriate floor. New postscript offers biographical sketches of Wells, Margaret Lowenfeld, and Dora M. Kalff, and describes how Wells' book inspired the development of sandplay therapy."
4383,9781400077809,140007780X,Einstein's Dreams,Alan P. Lightman,Fiction,http://books.google.com/books/content?id=1oSGmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Young Albert Einstein's dreams are imagined in a book that joins science and art to ponder such questions as the viscosity and flexibility of time. Reissue.,1993.0,4.07,144.0,24345.0,Einstein's Dreams,9781400077809 Young Albert Einstein's dreams are imagined in a book that joins science and art to ponder such questions as the viscosity and flexibility of time. Reissue.
4596,9781560067849,1560067845,Flowers for Algernon,Patrice Cassedy,Juvenile Nonfiction,http://books.google.com/books/content?id=x_CUfWcfrzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Discusses the young adult book ""Flowers for Algernon"" by Daniel Keyes, including the author's life, the science fiction genre, and the book's plot, characters, and themes.",2000.0,3.0,96.0,1.0,Flowers for Algernon,"9781560067849 Discusses the young adult book ""Flowers for Algernon"" by Daniel Keyes, including the author's life, the science fiction genre, and the book's plot, characters, and themes."
4713,9781576839546,1576839540,Parenting with Love and Logic,Foster Cline;Jim Fay,Family & Relationships,http://books.google.com/books/content?id=TpCtPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Cline and Fay offer advice to help parents raise kids who are self-confident, motivated, and ready for the world by teaching them responsibility and the logic of life, thereby giving them the opportunity to solve their own problems from the earliest possible age.",2006.0,4.07,271.0,9486.0,Parenting with Love and Logic: Teaching Children Responsibility,"9781576839546 Cline and Fay offer advice to help parents raise kids who are self-confident, motivated, and ready for the world by teaching them responsibility and the logic of life, thereby giving them the opportunity to solve their own problems from the earliest possible age."
4808,9781586853334,1586853333,The Big Book of Boy Stuff,Bart King,Juvenile Nonfiction,http://books.google.com/books/content?id=08IlmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"There's this boy. Let's say he's somewhere between nine and thirteen years old or so. You'd like to see this kid get creative. You'd like to see him get some exercise. You'd like to see him get out from in front of the television. And you'd love for him to be motivated enough to find some stuff to do on his own. This boy NEEDS The Big Book of Boy Stuff! This thick, durable book includes fascinating chapters on gross stuff, magic, emergencies, fireworks, games, experiments, jokes, activities, insults, pets, flying things, and, of course, duct tape. Boys can learn fun experiments such as how to create a ""Monster in a Box"" using a shoebox, a flowerpot, and a potato. Next, they can work on building a pneumatic rocket made out of a lip balm tube and air. The sky is truly the limit when it comes to these fun and entertaining projects. No boyhood is complete without a copy! The Big Book of Boy Stuff has all the important information that boys just have to know: How can I make a rocket? What do I do if I get a bean stuck up my nose? How can I make lightning without killing myself? Where can I find new practical jokes? What is the best way to poop outside? How do I tell a girl I like her? Why would I tell a girl I like her? How many mosquitoes does it take to suck all the blood out of a person? What's that smell? . . . and many, many more! The veteran of many water-balloon wars, Bart King has twice won the prized ""Arrested Development"" award from the New York Society of Amateur Psychologists. He has been a middle-school teacher for the past fifteen years. This is his first book, unless you count that other one he wrote. Bart has interviewed hundreds of the country's wisest guys and smartest alecks for the incredible material in The Big Book of Boy Stuff. Bart invites you to visit this book's website at: www.bartking.net",2004.0,4.24,292.0,141.0,The Big Book of Boy Stuff,"9781586853334 There's this boy. Let's say he's somewhere between nine and thirteen years old or so. You'd like to see this kid get creative. You'd like to see him get some exercise. You'd like to see him get out from in front of the television. And you'd love for him to be motivated enough to find some stuff to do on his own. This boy NEEDS The Big Book of Boy Stuff! This thick, durable book includes fascinating chapters on gross stuff, magic, emergencies, fireworks, games, experiments, jokes, activities, insults, pets, flying things, and, of course, duct tape. Boys can learn fun experiments such as how to create a ""Monster in a Box"" using a shoebox, a flowerpot, and a potato. Next, they can work on building a pneumatic rocket made out of a lip balm tube and air. The sky is truly the limit when it comes to these fun and entertaining projects. No boyhood is complete without a copy! The Big Book of Boy Stuff has all the important information that boys just have to know: How can I make a rocket? What do I do if I get a bean stuck up my nose? How can I make lightning without killing myself? Where can I find new practical jokes? What is the best way to poop outside? How do I tell a girl I like her? Why would I tell a girl I like her? How many mosquitoes does it take to suck all the blood out of a person? What's that smell? . . . and many, many more! The veteran of many water-balloon wars, Bart King has twice won the prized ""Arrested Development"" award from the New York Society of Amateur Psychologists. He has been a middle-school teacher for the past fifteen years. This is his first book, unless you count that other one he wrote. Bart has interviewed hundreds of the country's wisest guys and smartest alecks for the incredible material in The Big Book of Boy Stuff. Bart invites you to visit this book's website at: www.bartking.net"
4899,9781593854461,1593854463,Teaching Reading Comprehension to Students with Learning Difficulties,Janette K. Klingner;Sharon Vaughn;Alison Boardman,Education,http://books.google.com/books/content?id=NfLfnEdzD60C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A ChoiceOutstanding Academic Title! A highly practical resource for the classroom, this book offers clear, research-based recommendations for helping students at all grade levels understand and learn from what they read. Explaining the skills and strategies that good readers use to comprehend text, the authors show how to support struggling students in developing these skills. They present a variety of effective assessment procedures, ways to enhance vocabulary instruction and teach students about different text structures, and instructional practices that promote comprehension before, during, and after reading. Special features include discussion questions in every chapter, and reproducible instructional materials and lesson plans.",2007.0,3.77,178.0,22.0,Teaching Reading Comprehension to Students with Learning Difficulties,"9781593854461 A ChoiceOutstanding Academic Title! A highly practical resource for the classroom, this book offers clear, research-based recommendations for helping students at all grade levels understand and learn from what they read. Explaining the skills and strategies that good readers use to comprehend text, the authors show how to support struggling students in developing these skills. They present a variety of effective assessment procedures, ways to enhance vocabulary instruction and teach students about different text structures, and instructional practices that promote comprehension before, during, and after reading. Special features include discussion questions in every chapter, and reproducible instructional materials and lesson plans."
5017,9781845760182,1845760182,Ghost in the Shell,Masamune Shirow,,http://books.google.com/books/content?id=9tMePwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Deep into the 21st century, the line between man and machine has been inexorably blurred. In this rapidly converging landscape, cyborg super-agent Major Motoko Kusanagi is charged to track down the most dangerous terrorists and cybercriminals, including ""ghost hackers,"" capable of exploiting the human/machine interface by reprogramming human minds to become puppets to carry out their criminal ends.",2006.0,4.18,368.0,59.0,Ghost in the Shell,"9781845760182 Deep into the 21st century, the line between man and machine has been inexorably blurred. In this rapidly converging landscape, cyborg super-agent Major Motoko Kusanagi is charged to track down the most dangerous terrorists and cybercriminals, including ""ghost hackers,"" capable of exploiting the human/machine interface by reprogramming human minds to become puppets to carry out their criminal ends."
